game,round,num_iterations,max_depth,time_taken,num_children,value
6,28,1000,4,4.6,4,-0.2076091706305742
6,29,1000,2,2.7,2,-0.20760898454487323
6,30,1000,1,2.65,2,-0.20760918246209623
6,31,1000,2,3.13,4,-0.20760955120623112
6,32,1000,2,3.07,3,-0.20760924838483333
6,33,1000,3,3.56,3,-0.20760970111191274
6,34,1000,3,3.71,2,-0.20761087891459465
6,35,1000,2,3.1,7,-0.20761139303445816
6,36,1000,3,4.04,5,-0.20761249570548534
6,37,1000,5,4.39,3,-0.20761298593878746
6,38,1000,4,4.49,3,-0.207613336160779
6,39,1000,4,4.61,2,-0.20761429746448995
6,40,1000,5,3.27,1,-0.20761373625695706
6,41,1000,5,4.03,1,-0.20761383812129497
6,42,1000,3,3.34,1,-0.2076146209090948
6,43,1000,3,3.23,1,-0.2076139167100191
6,44,1000,3,5.13,4,-0.20761353681981565
6,45,1000,2,2.71,3,-0.20761400425434112
6,46,1000,1,2.59,3,-0.20761372846364975
6,47,1000,1,2.58,3,-0.20761411592364312
6,48,1000,2,3.75,3,-0.2076135418266058
6,49,1000,2,2.74,3,-0.2076150444149971
6,50,1000,4,4.45,1,-0.20761369739472865
6,51,1000,7,6.75,2,-0.20761518047749997
6,52,1000,3,2.75,1,-0.2076160088479519
6,53,871,7,10.0,3,-0.207614799608593
6,54,1000,6,4.7,2,-0.2076166159361601
6,55,1000,6,4.02,3,-0.20761650858819486
6,56,1000,3,3.51,3,-0.20761657232046127
6,57,1000,6,6.09,2,-0.20761745788156985
6,58,1000,2,2.65,3,-0.2076167593151331
6,59,1000,1,2.62,3,-0.2076183232665062
6,60,1000,1,2.63,3,-0.20761778154969215
7,1,1000,3,3.67,3,0.047607599649578336
7,2,1000,3,3.36,3,0.04760604740306735
7,3,1000,3,3.46,2,0.04760632499307394
7,4,1000,3,5.61,6,0.047607116714119914
7,5,1000,3,4.01,3,0.047607130851596596
7,6,1000,3,4.03,3,0.04760799932852387
7,7,1000,3,6.7,8,0.04760829820111394
7,8,1000,4,4.8,3,0.0476075942479074
7,9,1000,3,3.99,2,0.04760863307118416
7,10,1000,3,5.16,5,0.0476089842133224
7,11,1000,4,4.14,3,0.04760872615501285
7,12,1000,3,3.53,2,0.04760865129902959
7,13,1000,2,3.24,3,0.047608984608203175
7,14,1000,3,4.58,7,0.04760985795035958
7,15,716,4,10.0,3,0.04761106645761255
7,16,283,4,10.04,3,0.04761183845017487
7,17,1000,4,5.89,4,0.047611922856420276
7,18,1000,3,2.91,1,0.04761324430629611
7,19,1000,3,6.34,6,0.04761302064359188
7,20,1000,3,4.07,4,0.0476146649569273
7,21,1000,3,2.83,1,0.04761676026880741
7,22,1000,3,2.91,2,0.04761761197820306
7,23,1000,3,4.02,2,0.047618277013301846
7,24,1000,3,3.56,2,0.04761771125718951
7,25,1000,1,2.49,1,0.047615423798561096
8,1,1000,3,3.71,3,-0.1149734935760498
8,2,1000,3,3.97,3,-0.11497439059615135
8,3,1000,4,4.32,3,-0.11497495497763156
8,4,1000,4,3.98,3,-0.11497527418285608
8,5,1000,3,4.02,3,-0.11497542051970959
8,6,1000,3,3.17,3,-0.11497523882985115
8,7,542,5,10.01,2,-0.11497546974363362
8,8,1000,3,3.18,3,-0.1149753910973668
8,9,1000,2,2.86,2,-0.11497584180533886
8,10,1000,1,2.6,3,-0.11497600335627794
8,11,1000,2,2.67,3,-0.11497633288800717
8,12,1000,3,3.95,2,-0.11497635116428137
8,13,1000,3,3.41,2,-0.11497655440121889
8,14,1000,2,2.8,3,-0.11497656712681055
8,15,1000,2,2.69,2,-0.11497746901959181
8,16,1000,3,4.01,3,-0.11497772708535195
8,17,1000,3,5.01,5,-0.11497664152830839
8,18,1000,4,5.91,3,-0.11497572130709886
8,19,1000,3,3.48,3,-0.11497572442144155
8,20,1000,2,2.58,1,-0.11497544726729393
8,21,1000,1,2.62,4,-0.11497529535740614
8,22,1000,3,4.17,3,-0.11497534339129925
8,23,1000,3,3.68,3,-0.11497652376443147
8,24,1000,3,3.61,3,-0.11497660978138446
8,25,1000,3,5.36,5,-0.11497576098889112
8,26,1000,2,3.7,3,-0.11497525253891945
8,27,1000,3,3.79,3,-0.11497506598383188
8,28,1000,2,2.86,3,-0.11497453337907791
8,29,1000,5,6.83,3,-0.11497399131208658
8,30,1000,4,4.64,3,-0.11497340529412031
8,31,1000,2,3.37,6,-0.11497266422957182
8,32,1000,2,2.96,3,-0.11497295393049717
8,33,1000,3,3.08,2,-0.11497318512201309
8,34,1000,4,7.67,4,-0.1149722768291831
8,35,1000,3,3.52,2,-0.11497176679968833
8,36,1000,3,3.53,2,-0.11497179901599884
