game,port,player
153,5003,Chinese
153,5000,Russians
153,5001,Italians
153,5002,Germans
154,5002,Germans
154,5001,Italians
154,5000,Russians
154,5003,Chinese
155,5003,Chinese
155,5002,Germans
155,5001,Italians
155,5000,Russians
156,5001,Italians
156,5000,Russians
156,5002,Germans
156,5003,Chinese
157,5001,Italians
157,5002,Germans
157,5000,Russians
157,5003,Chinese
158,5003,Chinese
158,5002,Germans
158,5001,Italians
158,5000,Russians
159,5000,Russians
159,5002,Germans
159,5003,Chinese
159,5001,Italians
160,5003,Chinese
160,5001,Italians
160,5002,Germans
160,5000,Russians
161,5001,Italians
161,5000,Russians
161,5002,Germans
161,5003,Chinese
162,5003,Chinese
162,5000,Russians
162,5001,Italians
162,5002,Germans
163,5002,Germans
163,5000,Russians
163,5001,Italians
163,5003,Chinese
164,5001,Italians
164,5003,Chinese
164,5000,Russians
164,5002,Germans
165,5002,Germans
165,5000,Russians
165,5001,Italians
165,5003,Chinese
166,5001,Italians
166,5000,Russians
166,5003,Chinese
166,5002,Germans
167,5001,Italians
167,5003,Chinese
167,5000,Russians
167,5002,Germans
168,5001,Italians
168,5000,Russians
168,5003,Chinese
168,5002,Germans
169,5003,Chinese
169,5002,Germans
169,5001,Italians
169,5000,Russians
170,5002,Germans
170,5003,Chinese
170,5000,Russians
170,5001,Italians
171,5001,Italians
171,5003,Chinese
171,5002,Germans
171,5000,Russians
172,5000,Russians
172,5003,Chinese
172,5002,Germans
172,5001,Italians
173,5002,Germans
173,5001,Italians
173,5000,Russians
173,5003,Chinese
174,5003,Chinese
174,5000,Russians
174,5001,Italians
174,5002,Germans
175,5001,Italians
175,5000,Russians
175,5002,Germans
175,5003,Chinese
176,5002,Germans
176,5001,Italians
176,5000,Russians
176,5003,Chinese
177,5000,Russians
177,5003,Chinese
177,5001,Italians
177,5002,Germans
178,5001,Italians
178,5002,Germans
178,5003,Chinese
178,5000,Russians
179,5000,Russians
179,5002,Germans
179,5003,Chinese
179,5001,Italians
180,5003,Chinese
180,5001,Italians
180,5002,Germans
180,5000,Russians
181,5001,Italians
181,5002,Germans
181,5000,Russians
181,5003,Chinese
182,5002,Germans
182,5003,Chinese
182,5000,Russians
182,5001,Italians
183,5001,Italians
183,5003,Chinese
183,5000,Russians
183,5002,Germans
184,5001,Italians
184,5003,Chinese
184,5000,Russians
184,5002,Germans
185,5002,Germans
185,5000,Russians
185,5001,Italians
185,5003,Chinese
186,5001,Italians
186,5003,Chinese
186,5002,Germans
186,5000,Russians
187,5002,Germans
187,5001,Italians
187,5000,Russians
187,5003,Chinese
188,5000,Russians
188,5002,Germans
188,5003,Chinese
188,5001,Italians
189,5000,Russians
189,5002,Germans
189,5003,Chinese
189,5001,Italians
190,5000,Russians
190,5002,Germans
190,5003,Chinese
190,5001,Italians
191,5002,Germans
191,5001,Italians
191,5003,Chinese
191,5000,Russians
192,5000,Russians
192,5001,Italians
192,5002,Germans
192,5003,Chinese
193,5003,Chinese
193,5001,Italians
193,5002,Germans
193,5000,Russians
194,5003,Chinese
194,5001,Italians
194,5002,Germans
194,5000,Russians
195,5003,Chinese
195,5001,Italians
195,5000,Russians
195,5002,Germans
196,5000,Russians
196,5001,Italians
196,5003,Chinese
196,5002,Germans
197,5002,Germans
197,5003,Chinese
197,5000,Russians
197,5001,Italians
198,5003,Chinese
198,5000,Russians
198,5002,Germans
198,5001,Italians
199,5003,Chinese
199,5000,Russians
199,5002,Germans
199,5001,Italians
200,5003,Chinese
200,5000,Russians
200,5002,Germans
200,5001,Italians
201,5000,Russians
201,5001,Italians
201,5003,Chinese
201,5002,Germans
202,5002,Germans
202,5001,Italians
202,5003,Chinese
202,5000,Russians
203,5003,Chinese
203,5001,Italians
203,5000,Russians
203,5002,Germans
204,5000,Russians
204,5002,Germans
204,5003,Chinese
204,5001,Italians
205,5000,Russians
205,5003,Chinese
205,5002,Germans
205,5001,Italians
206,5002,Germans
206,5000,Russians
206,5001,Italians
206,5003,Chinese
207,5002,Germans
207,5000,Russians
207,5003,Chinese
207,5001,Italians
208,5002,Germans
208,5001,Italians
208,5000,Russians
208,5003,Chinese
209,5000,Russians
209,5003,Chinese
209,5002,Germans
209,5001,Italians
210,5001,Italians
210,5000,Russians
210,5003,Chinese
210,5002,Germans
211,5001,Italians
211,5003,Chinese
211,5000,Russians
211,5002,Germans
212,5002,Germans
212,5003,Chinese
212,5001,Italians
212,5000,Russians
213,5000,Russians
213,5003,Chinese
213,5002,Germans
213,5001,Italians
214,5003,Chinese
214,5002,Germans
214,5001,Italians
214,5000,Russians
215,5001,Italians
215,5000,Russians
215,5002,Germans
215,5003,Chinese
216,5001,Italians
216,5000,Russians
216,5003,Chinese
216,5002,Germans
217,5002,Germans
217,5003,Chinese
217,5000,Russians
217,5001,Italians
218,5002,Germans
218,5003,Chinese
218,5000,Russians
218,5001,Italians
219,5002,Germans
219,5001,Italians
219,5003,Chinese
219,5000,Russians
220,5003,Chinese
220,5002,Germans
220,5000,Russians
220,5001,Italians
221,5003,Chinese
221,5001,Italians
221,5000,Russians
221,5002,Germans
222,5002,Germans
222,5001,Italians
222,5000,Russians
222,5003,Chinese
223,5000,Russians
223,5002,Germans
223,5001,Italians
223,5003,Chinese
224,5003,Chinese
224,5001,Italians
224,5002,Germans
224,5000,Russians
225,5003,Chinese
225,5000,Russians
225,5002,Germans
225,5001,Italians
226,5001,Italians
226,5000,Russians
226,5002,Germans
226,5003,Chinese
227,5001,Italians
227,5002,Germans
227,5003,Chinese
227,5000,Russians
228,5003,Chinese
228,5002,Germans
228,5001,Italians
228,5000,Russians
229,5000,Russians
229,5001,Italians
229,5002,Germans
229,5003,Chinese
230,5001,Italians
230,5000,Russians
230,5002,Germans
230,5003,Chinese
231,5000,Russians
231,5002,Germans
231,5003,Chinese
231,5001,Italians
232,5003,Chinese
232,5000,Russians
232,5002,Germans
232,5001,Italians
233,5001,Italians
233,5000,Russians
233,5002,Germans
233,5003,Chinese
234,5003,Chinese
234,5001,Italians
234,5000,Russians
234,5002,Germans
235,5002,Germans
235,5000,Russians
235,5001,Italians
235,5003,Chinese
236,5002,Germans
236,5000,Russians
236,5003,Chinese
236,5001,Italians
237,5003,Chinese
237,5002,Germans
237,5001,Italians
237,5000,Russians
238,5003,Chinese
238,5002,Germans
238,5000,Russians
238,5001,Italians
239,5003,Chinese
239,5001,Italians
239,5002,Germans
239,5000,Russians
240,5002,Germans
240,5003,Chinese
240,5001,Italians
240,5000,Russians
241,5002,Germans
241,5003,Chinese
241,5000,Russians
241,5001,Italians
242,5000,Russians
242,5003,Chinese
242,5001,Italians
242,5002,Germans
243,5002,Germans
243,5001,Italians
243,5000,Russians
243,5003,Chinese
244,5000,Russians
244,5002,Germans
244,5001,Italians
244,5003,Chinese
245,5003,Chinese
245,5002,Germans
245,5001,Italians
245,5000,Russians
246,5000,Russians
246,5003,Chinese
246,5002,Germans
246,5001,Italians
247,5000,Russians
247,5001,Italians
